Date,Temperature_C,Humidity,Wind_Speed,Solar_Radiation,Pressure,Month,Day_of_Year,Quarter,Week_of_Year,Day_of_Week,Is_Weekend,Temp_Humidity_Interaction,Wind_Solar_Interaction,Pressure_Temp_Interaction,Temperature_Squared,Humidity_Squared,Wind_Speed_Sqrt,Temp_MA_7,Temp_MA_30,Energy_MA_7,Temp_Lag_1,Temp_Lag_7,Energy_Lag_1,Season_Encoded,Temp_Category_Encoded,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,TempCat_Cold,TempCat_Cool,TempCat_Moderate,TempCat_Hot
1984-04-10,10.1,71.60712106940599,0.11658399842156877,508.502897773499,1010.6155433285044,4,101,2,15,1,0,723.2319228010005,59.28330103138875,10207.216987617894,102.00999999999999,5127.579787848567,0.3414439901675951,10.228571428571428,11.94,935.6787976449323,9.7,9.2,814.9620502977177,1,1,False,True,False,False,False,True,False,False
1987-08-19,4.3,80.70976559932173,3.064693116111459,56.56659423866108,1019.288061507847,8,231,3,34,2,0,347.0519920770834,173.35925196509473,4382.938664483742,18.49,6514.066263097457,1.7506264924624724,7.414285714285714,7.070000000000001,1095.4543856810426,4.2,7.5,1056.6902668217301,2,0,False,False,True,False,True,False,False,False
1984-07-12,8.0,48.449500907391894,0.4981294441072529,133.5257152507312,1003.0290887573466,7,194,3,28,3,0,387.59600725913515,66.51309031187007,8024.232710058773,64.0,2347.354138175368,0.7057828590347409,7.314285714285715,6.803333333333333,1063.2471998040562,8.8,1.3,1094.400784009886,2,1,False,False,True,False,False,True,False,False
1988-01-24,12.3,69.20954606735205,5.389596150713019,286.8571065924536,1016.5867470605115,1,24,1,3,6,1,851.2774166284303,1546.043957495362,12504.016988844292,151.29000000000002,4789.961266848925,2.3215503765184633,14.971428571428572,16.10333333333333,980.3974781505475,15.6,15.5,924.7592134499196,3,1,False,False,False,True,False,True,False,False
1988-01-17,15.5,43.27112878049684,1.3326406620946387,158.35859734182958,1017.4671189927092,1,17,1,2,6,1,670.702496097701,211.03510600999405,15770.740344386992,240.25,1872.3905859383417,1.1544005639701667,19.2,15.353333333333332,908.6293471283494,17.6,17.4,819.3841519141016,3,3,False,False,False,True,False,False,True,False
1981-07-04,7.0,61.64805822011223,3.4435359241561363,79.18410883106523,1010.6786874719768,7,185,3,27,5,1,431.5364075407856,272.6733233820623,7074.750812303838,49.0,3800.4830823103475,1.8556766755434893,9.057142857142855,7.006666666666666,1018.6891638943091,6.5,9.2,1004.0371686547521,2,1,False,False,True,False,False,True,False,False
1983-06-06,7.2,73.75892277988946,1.4028944291551646,74.74081031055168,1007.8116981908012,6,157,2,23,0,0,531.0642440152042,104.85346641521583,7256.2442269737685,51.84,5440.378689649696,1.1844384446458855,8.114285714285714,9.086666666666668,1153.7862087556111,5.6,7.5,1264.594646153257,2,1,False,False,True,False,False,True,False,False
1987-03-25,10.3,65.51228626232037,0.9676125492222795,45.08133276448743,1002.8236074816622,3,84,1,13,2,0,674.7765485018999,43.62126331858355,10329.08315706112,106.09000000000002,4291.859651316211,0.9836729889664957,12.414285714285713,12.646666666666667,997.4717702711331,11.0,18.7,1009.2512899209466,1,1,False,True,False,False,False,True,False,False
1985-06-11,8.8,43.4258303252395,0.19930742375066313,23.460526536386094,1019.8114696456549,6,162,2,24,1,0,382.14730686210765,4.675857103801181,8974.340932881763,77.44000000000001,1885.8027394364908,0.44643860020238296,7.371428571428572,7.6466666666666665,1090.6321142426302,10.0,5.9,904.6301880773166,2,1,False,False,True,False,False,True,False,False
1985-06-08,4.2,58.60463605691685,4.032129675708737,428.7114491414354,1019.9647646416798,6,159,2,23,5,1,246.1394714390508,1728.6201563992788,4283.852011495055,17.64,3434.503367363679,2.008016353446539,6.014285714285713,8.03,1177.6254179103676,8.2,4.3,1071.4920929701877,2,0,False,False,True,False,True,False,False,False
1982-01-13,15.9,67.75013008607527,0.7945261872182059,50.57603746892314,1012.2139019824674,1,13,1,2,2,0,1077.227068368597,40.183986214788625,16094.201041521232,252.81,4590.080126680122,0.8913619843914177,16.87142857142857,14.79,1044.954415012818,22.2,12.5,1045.3591843330607,3,3,False,False,False,True,False,False,True,False
1985-03-21,17.2,30.0,3.616740138670169,197.4732069395273,1013.7927691543678,3,80,1,12,3,0,516.0,714.209273850109,17437.235629455125,295.84,900.0,1.901772893557527,17.942857142857143,15.49,935.0115752580705,18.4,21.7,778.5780103771335,1,3,False,True,False,False,False,False,True,False
1983-01-07,12.8,68.84044601470814,0.3706406424155779,102.25030984395273,1023.1504694345848,1,7,1,1,4,0,881.1577089882642,37.898120527754536,13096.326008762686,163.84000000000003,4739.007007503945,0.608802630099097,13.628571428571428,14.226666666666665,867.9595139777814,12.1,16.3,1020.9024136167991,3,1,False,False,False,True,False,True,False,False
1982-08-29,14.2,93.151937188371,0.11820922307277382,238.59299575233428,1018.3336470893518,8,241,3,34,6,1,1322.7575080748682,28.203892658489057,14460.337788668794,201.64,8677.283401946215,0.3438156818307941,8.957142857142857,7.726666666666666,1086.299045263687,7.0,6.6,1011.4453066539098,2,1,False,False,True,False,False,True,False,False
1987-01-30,12.7,61.29461448881005,6.885424985523108,82.70252665121397,1006.9961860948766,1,30,1,5,4,0,778.4416040078876,569.4420433701595,12788.851563404933,161.29,3757.0297653318426,2.624009334115088,12.728571428571428,13.180000000000001,995.6948654705744,11.0,12.4,1205.2143597855948,3,1,False,False,False,True,False,True,False,False
1989-05-16,8.3,52.148418592598105,1.7249174623048544,300.9631830908719,1022.2258196346116,5,136,2,20,1,0,432.8318743185643,519.136650024298,8484.474302967277,68.89000000000001,2719.4575617088317,1.3133611317169602,11.457142857142857,11.516666666666667,926.5949883852794,9.7,9.5,966.2408977317685,1,1,False,True,False,False,False,True,False,False
1987-06-20,11.9,49.559427377268925,0.4316626281211456,215.8942063617787,1016.5682849865796,6,171,2,25,5,1,589.7571857895002,93.19346051425435,12097.162591340297,141.61,2456.1368419627925,0.6570103713954184,6.6571428571428575,8.003333333333334,1165.691024559482,6.2,6.0,1295.7567733436777,2,1,False,False,True,False,False,True,False,False
1984-05-18,9.4,95.0,3.9871093969694957,84.22678425876583,1011.78834107197,5,139,2,20,4,0,893.0,335.82140299464766,9510.810406076518,88.36000000000001,9025.0,1.996774748680856,6.6000000000000005,8.743333333333334,1157.2506849987901,7.5,9.9,1090.093860762592,1,1,False,True,False,False,False,True,False,False
1983-06-30,5.5,60.38332647570499,1.57679770508331,166.43068637616986,1006.3183540922647,6,181,2,26,3,0,332.10829561637746,262.4275243333847,5534.750947507456,30.25,3646.1461162715755,1.2557060583923731,5.514285714285713,6.6,1212.5499463553788,4.0,6.6,1512.5655996797536,2,1,False,False,True,False,False,True,False,False
1985-07-27,1.4,57.42837618157674,1.1316770469199746,126.96746589735727,1021.4845645647007,7,208,3,30,5,1,80.39972665420743,143.68616686163386,1430.0783903905808,1.9599999999999997,3298.0183908526906,1.0638031053348052,4.0,6.476666666666666,1223.231076186705,8.5,3.2,926.3426065324534,2,0,False,False,True,False,True,False,False,False
1983-04-17,6.7,88.25750739221115,0.9135553728463964,49.26072862739234,1017.6002269879432,4,107,2,15,6,1,591.3252995278148,45.00240330788256,6817.92152081922,44.89,7789.387611086207,0.9558009064896289,10.357142857142858,11.57,953.7725333098526,6.2,15.2,1028.6685969625348,1,1,False,True,False,False,False,True,False,False
1981-05-29,11.4,72.82912348425347,2.4508832161549785,56.770143558648,999.401439755281,5,149,2,22,4,0,830.2520077204896,139.13699202659905,11393.176413210203,129.96,5304.08122748464,1.5655296918790709,11.37142857142857,9.233333333333333,979.6544611278559,11.2,5.4,1022.9699447018835,1,1,False,True,False,False,False,True,False,False
1986-07-11,7.0,61.03227738034084,4.747444323398766,269.39426931769776,1012.9233219795193,7,192,3,28,4,0,427.2259416623859,1278.9342946284626,7090.463253856635,49.0,3724.938882230864,2.1788630804616353,6.214285714285714,6.65,1101.854672084837,5.8,11.4,1078.4335139443176,2,1,False,False,True,False,False,True,False,False
1982-11-04,12.5,59.85968608879477,0.08031501364000024,89.50898505062814,1017.4411642616841,11,308,4,44,3,0,748.2460761099346,7.188915355243776,12718.01455327105,156.25,3583.18201864905,0.2833990360604641,9.814285714285713,9.763333333333332,1010.5744042352479,9.5,9.2,825.0026524759467,0,1,True,False,False,False,False,True,False,False
1990-12-17,13.9,69.00227594443103,3.9301480827577677,339.86893630776893,1009.5004172176398,12,351,4,51,0,0,959.1316356275914,1335.7352484189,14032.055799325193,193.21,4761.314085511406,1.9824601087431162,12.842857142857143,13.503333333333334,899.3773741113348,13.6,11.0,703.034131071165,3,1,False,False,False,True,False,True,False,False
1986-04-29,6.9,59.85211586753884,1.7204642053909505,131.57237766947327,1015.5538336538533,4,119,2,18,1,0,412.979599486018,226.36556619850836,7007.321452211588,47.61000000000001,3582.275773821295,1.3116646695672451,9.971428571428573,11.860000000000001,1018.9317945031938,9.0,14.2,1101.8146780074412,1,1,False,True,False,False,False,True,False,False
1982-10-24,8.0,56.79711588139412,1.3280719307871494,189.09807605549577,1010.2872868054304,10,297,4,42,6,1,454.37692705115296,251.13584697515748,8082.298294443443,64.0,3225.912372444512,1.152420032274322,8.685714285714285,8.903333333333332,1048.0557926700758,10.6,7.5,927.1727242473949,0,1,True,False,False,False,False,True,False,False
1982-04-24,16.5,95.0,1.0953686647224408,172.42008207983417,1005.6483768993303,4,114,2,16,5,1,1567.5,188.8635550791216,16593.19821883895,272.25,9025.0,1.0465986168166097,10.357142857142858,12.466666666666667,1088.8344235563097,13.0,9.3,916.5391729253198,1,3,False,True,False,False,False,False,True,False
1985-04-24,8.7,44.65127293064893,5.544575051979201,509.09502662634674,1022.0532309607529,4,114,2,17,2,0,388.46607449664566,2822.7155837191294,8891.86310935855,75.68999999999998,1993.7361743273018,2.3546921352863097,8.542857142857143,13.706666666666667,991.925276368109,6.8,8.1,1127.6753829656373,1,1,False,True,False,False,False,True,False,False
1988-08-31,11.8,59.60555491321306,0.17965333758433813,41.61244080742804,1014.9529665595685,8,244,3,35,2,0,703.3455479759142,7.475813876085157,11976.44500540291,139.24,3552.822176512058,0.4238553262427383,9.328571428571427,8.69,951.7261049931116,9.0,5.8,732.1187139077567,2,1,False,False,True,False,False,True,False,False
1983-02-06,16.2,64.47517264254557,1.1794411996740766,74.9139376599801,1008.7006802907579,2,37,1,5,6,1,1044.4977968092383,88.35658450599593,16340.951020710278,262.44,4157.047887286057,1.0860208099636381,15.642857142857142,13.623333333333335,995.0527648903308,14.9,14.3,793.8446807303818,3,3,False,False,False,True,False,False,True,False
1985-05-05,13.6,71.4322475049586,0.18954240130102953,54.915581094782226,1025.0608588739976,5,125,2,18,6,1,971.4785660674369,10.408831109546444,13940.827680686367,184.95999999999998,5102.565983609664,0.4353646762210154,10.542857142857143,12.063333333333333,1017.38090069957,10.6,10.5,1058.0543392178351,1,1,False,True,False,False,False,True,False,False
1985-11-21,10.5,66.23659629401755,0.12324507176324896,186.7094410137389,1024.8685379050487,11,325,4,47,3,0,695.4842610871842,23.01101845661435,10761.119648003012,110.25,4387.2866886166585,0.35106277467605274,11.257142857142858,12.26,963.0943299968075,13.2,21.0,1032.750055624596,0,1,True,False,False,False,False,True,False,False
1988-06-01,10.0,65.35854564927433,2.6799726819727248,58.283533830596234,1003.3361174066872,6,153,2,22,2,0,653.5854564927433,156.19827847483103,10033.361174066871,100.0,4271.7394893882765,1.6370622107826949,9.37142857142857,11.110000000000001,1088.7071015673127,7.8,8.7,1113.7980174398558,2,1,False,False,True,False,False,True,False,False
1987-08-18,4.2,45.102918075333754,2.17905567962437,399.3966125052451,1027.033611573731,8,230,3,34,1,0,189.43225591640177,870.3074569022881,4313.54116860967,17.64,2034.2732189102683,1.4761624841542242,7.871428571428572,7.136666666666667,1012.6146105396177,5.6,7.0,1152.6757919188128,2,0,False,False,True,False,True,False,False,False
1990-06-19,8.1,30.0,3.5827744614649766,89.3318952388073,1016.28388541553,6,170,2,25,1,0,243.0,320.0560328558636,8231.899471865792,65.61,900.0,1.8928218250709643,7.528571428571429,7.78,1029.7519168629647,7.7,7.4,1056.2177431903324,2,1,False,False,True,False,False,True,False,False
1988-10-07,12.7,60.502427055876794,13.633453528651135,175.16889414290986,1004.5144574098539,10,281,4,40,4,0,768.3808236096353,2388.1569779625715,12757.333609105144,161.29,3660.5436796516924,3.6923506779084696,10.757142857142856,10.236666666666668,1003.0149951263313,6.0,12.4,1018.5074601603797,0,1,True,False,False,False,False,True,False,False
1981-07-22,9.0,81.24576864762915,0.9465906611153572,89.15987657844352,1017.6720369282776,7,203,3,30,2,0,731.2119178286623,84.3979065153525,9159.0483323545,81.0,6600.87492314408,0.9729289085618523,8.371428571428572,7.733333333333333,1089.7727904591845,12.0,7.2,1013.2419191668608,2,1,False,False,True,False,False,True,False,False
1982-06-24,4.0,56.34662195715277,0.5118230918066684,83.22432236176545,1015.062764058449,6,175,2,25,3,0,225.38648782861108,42.59612998471364,4060.251056233796,16.0,3174.9418059822906,0.7154181237616701,6.871428571428571,6.926666666666666,1109.1277144788805,8.9,8.0,1178.465200186592,2,0,False,False,True,False,True,False,False,False
1984-10-31,12.6,55.14658581542906,0.18746372219254104,63.47148202199103,1000.2504087161785,10,305,4,44,2,0,694.8469812744062,11.898600272919388,12603.15514982385,158.76,3041.145927098482,0.43297080986198255,10.571428571428571,10.610000000000001,919.2535929421125,8.5,11.3,1066.3158668750307,0,1,True,False,False,False,False,True,False,False
1987-02-16,16.6,65.21409601754651,1.9775010087266396,131.4413537106116,1014.0567472528083,2,47,1,8,0,0,1082.553993891272,259.92540955112946,16833.34200439662,275.56000000000006,4252.878319385775,1.4062364697043808,14.4,13.359999999999998,924.5399853298259,16.8,11.9,1166.3603036649633,3,3,False,False,False,True,False,False,True,False
1987-12-14,16.2,78.7768166591362,1.2390741675958605,108.63598775555583,1018.0977913069379,12,348,4,51,0,0,1276.1844298780063,134.60804609916943,16493.18421917239,262.44,6205.786842947159,1.1131370839190744,14.27142857142857,12.82,961.3037432589782,15.0,11.0,1051.4881504916798,3,3,False,False,False,True,False,False,True,False
1986-03-07,20.0,73.19426372005549,0.10750390735716236,283.7503750510251,1022.7212813190009,3,66,1,10,4,0,1463.8852744011097,30.50427403204548,20454.42562638002,400.0,5357.400241521031,0.32787788482476576,16.099999999999998,14.830000000000002,883.1706743847727,16.8,14.4,969.4365712418885,1,3,False,True,False,False,False,False,True,False
1989-10-26,11.6,53.97044808977071,0.9659973841452056,234.2897807149131,1016.062876506464,10,299,4,43,3,0,626.0571978413402,226.3233153025599,11786.329367474982,134.56,2912.8092670106353,0.9828516592778412,10.957142857142857,9.913333333333332,1024.1413956201939,13.4,12.9,979.0953998121053,0,1,True,False,False,False,False,True,False,False
1981-08-23,3.9,95.0,1.9759434109241534,397.12929181821596,1013.1432040220486,8,235,3,34,6,1,370.5,784.7050074531792,3951.2584956859896,15.209999999999999,9025.0,1.4056825427258295,8.5,7.386666666666667,1098.3549260016941,7.9,10.3,1146.7594153457019,2,0,False,False,True,False,True,False,False,False
1982-07-17,3.7,78.06687055147539,0.2870379876437126,69.40563406521603,1010.0595268603378,7,198,3,28,5,1,288.847421040459,19.922053533215518,3737.22024938325,13.690000000000001,6094.4362777008155,0.5357592627698681,5.271428571428571,5.213333333333334,1162.1759711402053,5.0,2.8,1277.815318752629,2,0,False,False,True,False,True,False,False,False
1985-09-02,7.9,71.14727985392769,0.16996991269055423,191.7037596045087,1003.4300151465974,9,245,3,36,0,0,562.0635108460287,32.583871282429335,7927.0971196581195,62.410000000000004,5061.9354306131045,0.41227407472524175,7.6,7.883333333333334,1123.7505090609145,10.3,9.8,963.2974279655914,0,1,True,False,False,False,False,True,False,False
1988-07-24,8.5,74.44294376332716,1.1276901575475824,169.79830075520664,1025.4414740363975,7,206,3,29,6,1,632.7650219882809,191.47987252995077,8716.252529309379,72.25,5541.75187614989,1.0619275669967243,8.1,8.153333333333332,1057.6499132452252,8.5,8.0,1104.9264830941513,2,1,False,False,True,False,False,True,False,False
1986-08-16,9.1,55.12825266387115,0.5656497680728125,223.90243158917085,1017.5064293672397,8,228,3,33,5,1,501.66709924122745,126.65035849935326,9259.30850724188,82.80999999999999,3039.1242417716167,0.7520969140162805,4.557142857142857,6.8533333333333335,1236.5594303739947,7.7,3.6,891.6425221022562,2,1,False,False,True,False,False,True,False,False
1985-03-06,12.6,59.416898358934205,3.057191316915701,63.65115381220083,996.5442294106725,3,65,1,10,2,0,748.6529193225709,194.59375474632608,12556.457290574474,158.76,3530.3678105959184,1.7484825755253326,13.071428571428571,13.856666666666666,992.2284977987841,10.7,10.3,862.208978605197,1,1,False,True,False,False,False,True,False,False
1987-02-10,15.1,54.73055261359994,0.5143280237405676,213.43099457473906,1021.1649034257593,2,41,1,7,1,0,826.4313444653591,109.77354164460935,15419.590041728965,228.01,2995.433389390031,0.7171666638519721,13.742857142857142,13.216666666666667,942.0310781297807,11.9,12.7,1037.7709361966608,3,3,False,False,False,True,False,False,True,False
1983-05-22,6.2,53.02554133192319,2.787026014628955,296.2894988402678,1017.2749932089201,5,142,2,20,6,1,328.7583562579238,825.766541129202,6307.104957895305,38.440000000000005,2811.708033543495,1.669438832251411,6.514285714285714,10.84,1196.9494242614767,7.5,11.7,1142.1042274675349,1,1,False,True,False,False,False,True,False,False
1982-10-01,8.6,45.65058650388419,1.0796998289184865,100.86476172243917,1016.3593539139646,10,274,4,39,4,0,392.59504393340404,108.90366597562148,8740.690443660094,73.96,2083.9760481486137,1.0390860546261251,8.2,7.433333333333334,1017.8601441899566,6.3,8.5,1096.9771505854956,0,1,True,False,False,False,False,True,False,False
1989-07-08,7.0,71.75905119293809,5.426494549035046,182.56901050284392,998.4747455368772,7,189,3,27,5,1,502.3133583505666,990.7097403164046,6989.323218758141,49.0,5149.361428110709,2.3294837516143025,7.028571428571429,6.786666666666666,1147.2022859501656,6.2,6.0,1296.7743546237873,2,1,False,False,True,False,False,True,False,False
1988-09-13,4.7,55.46663237893395,1.2327524133327092,432.74382289528523,1013.1591496305067,9,257,3,37,1,0,260.69317218098956,533.4659920289854,4761.8480032633815,22.090000000000003,3076.5473074598044,1.1102938409865692,9.957142857142856,9.68,1018.2307509218944,6.8,8.8,1005.0212010185455,0,0,True,False,False,False,True,False,False,False
