Date,Temperature,Temperature_C,Humidity,Wind_Speed,Solar_Radiation,Pressure,Energy_Consumption,Month,Day_of_Year,Quarter,Year,Week_of_Year,Day_of_Week,Is_Weekend,Season,Temp_Category,Temp_Humidity_Interaction,Wind_Solar_Interaction,Pressure_Temp_Interaction,Temperature_Squared,Humidity_Squared,Wind_Speed_Sqrt,Temp_MA_7,Temp_MA_30,Energy_MA_7,Temp_Lag_1,Temp_Lag_7,Energy_Lag_1
1981-01-11,16.2,16.2,58.04873460781307,0.25555979526784395,253.13463593933312,1016.752694490433,863.1411975802346,1,11,1,1981,2,6,1,Winter,Moderate,940.3895006465716,64.69103573585619,16471.393650745013,262.44,3369.6555895683146,0.5055292229612883,17.54285714285714,17.70909090909091,985.3441037626097,20.0,14.6,964.5691097171148
1981-01-12,13.3,13.3,58.01405369644615,0.748119067077543,233.3918286740414,1030.0,967.4351371956665,1,12,1,1981,3,0,0,Winter,Cool,771.5869141627338,174.6048771311456,13699.0,176.89000000000001,3365.630426294137,0.8649387649293695,17.185714285714287,17.341666666666665,979.0973394055833,16.2,15.8,863.1411975802346
1981-01-13,16.7,16.7,68.62943407349051,3.242980811157606,92.89324509997682,1028.6003859885836,1009.6311067792949,1,13,1,1981,3,1,0,Winter,Moderate,1146.1115490272916,301.25101134538517,17177.626446009344,278.89,4709.999221247581,1.8008278127454624,17.314285714285713,17.292307692307695,995.3264081097848,13.3,15.8,967.4351371956665
1981-01-14,21.5,21.5,36.30079633013303,3.9525868068256074,296.57991296518423,1000.8275610637287,769.0959165601267,1,14,1,1981,3,2,0,Winter,Moderate,780.4671210978602,1172.2578511556742,21517.792562870167,462.25,1317.7478142017999,1.9881113668066,18.128571428571426,17.592857142857145,931.1673398968245,16.7,15.8,1009.6311067792949
1981-01-15,25.0,25.0,39.12623251230451,0.29537662164381406,108.47284276422975,1011.2928799874347,899.3985225226434,1,15,1,1981,3,3,0,Winter,Moderate,978.1558128076128,32.04034183579883,25282.321999685868,625.0,1530.8620706069146,0.5434856222972362,19.214285714285715,18.086666666666666,918.7507732731623,21.5,17.4,769.0959165601267
1981-01-16,20.7,20.7,56.56568706138541,6.089288491029816,66.39311731807518,1021.3653488058042,884.2189725710056,1,16,1,1981,3,4,0,Winter,Moderate,1170.909722170678,404.2868451685476,21142.262720280145,428.48999999999995,3199.676952726585,2.467648372647492,19.057142857142857,18.25,908.2128518465837,25.0,21.8,899.3985225226434
1981-01-17,20.6,20.6,49.80753319498364,0.79744364405191,27.412760485222915,1003.5739703798649,996.5591203319542,1,17,1,1981,3,5,1,Winter,Moderate,1026.035183816663,21.860131614858368,20673.62378982522,424.36000000000007,2480.7903629693974,0.8929970011438505,19.142857142857142,18.38823529411765,912.7828533629894,20.7,20.0,884.2189725710056
1981-01-18,24.8,24.8,69.71370998892911,2.1712760713197885,144.7866337073964,997.3193924054775,964.9807028877931,1,18,1,1981,3,6,1,Winter,Moderate,1728.900007725442,314.3717532158129,24733.520931655843,615.0400000000001,4860.001360420514,1.4735250494375005,20.37142857142857,18.744444444444444,927.331354121212,20.6,16.2,996.5591203319542
1981-01-19,17.7,17.7,51.37963886718184,2.78724344925305,34.61264760001882,1005.3979542124462,944.2273460101665,1,19,1,1981,4,0,0,Winter,Moderate,909.4196079491185,96.47387528445675,17795.543789560295,313.28999999999996,2639.8672901220225,1.6695039530510403,21.0,18.689473684210526,924.0159553804262,24.8,13.3,964.9807028877931
1981-01-20,15.5,15.5,43.81544447997062,3.342054742139349,81.80588144436946,1011.8483459381337,944.6797063596155,1,20,1,1981,4,1,0,Winter,Moderate,679.1393894395446,273.39973401604436,15683.649362041071,240.25,1919.7931749773882,1.82812875425648,20.82857142857143,18.53,914.7371838919007,17.7,16.7,944.2273460101665
1981-01-21,18.2,18.2,86.98473153382331,5.828293595307371,164.58103192632973,990.0,928.6352171027927,1,21,1,1981,4,2,0,Winter,Moderate,1583.1221139155841,959.2265742853054,18018.0,331.23999999999995,7566.3435200113145,2.4141859073624325,20.357142857142858,18.514285714285716,937.528512540853,15.5,21.5,944.6797063596155
1981-01-22,12.1,12.1,61.61335549270196,0.7506077747980845,365.0635285338379,1001.8611034703545,789.5194204079386,1,22,1,1981,4,3,0,Winter,Cool,745.5216014616938,274.01952281272105,12122.519351991288,146.41,3796.205575070067,0.8663762316673308,18.514285714285712,18.222727272727273,921.8314979530379,18.2,25.0,928.6352171027927
1981-01-23,14.4,14.4,66.01292307031886,3.911002356289164,133.0134037329515,995.2146473080545,955.1561610820738,1,23,1,1981,4,4,0,Winter,Cool,950.5860922125917,520.2157354176152,14331.090921235986,207.36,4357.7060122878365,1.9776254337687822,17.614285714285714,18.056521739130435,931.9653820260479,12.1,20.7,789.5194204079386
1981-01-24,16.0,16.0,43.62877720679815,0.28240583807033287,43.23789420664526,1024.4667226812849,881.6958605896189,1,24,1,1981,4,5,1,Winter,Moderate,698.0604353087704,12.210633749824044,16391.467562900558,256.0,1903.4702005604297,0.5314187031619539,16.95714285714286,17.970833333333335,915.5563449199999,14.4,20.6,955.1561610820738
1981-01-25,16.5,16.5,56.834259132122256,2.4418371957253604,153.09215648359373,1022.3147882665298,921.4790381632549,1,25,1,1981,4,6,1,Winter,Moderate,937.7652756800172,373.82612207544656,16868.19400639774,272.25,3230.133011097222,1.5626378965471688,15.771428571428572,17.912,909.341821387923,16.0,24.8,881.6958605896189
1981-01-26,18.7,18.7,66.66383884564799,2.7094187561452374,355.4097142972612,1015.7856368936039,933.0144133046114,1,26,1,1981,5,0,0,Winter,Moderate,1246.6137864136174,962.9537460332197,18995.191409910392,349.69,4444.0674096385255,1.6460312135999235,15.914285714285715,17.942307692307693,907.739973858558,16.5,17.7,921.4790381632549
1981-01-27,19.4,19.4,47.73509633866546,2.264689206442046,130.54261606534942,1014.0001187412138,897.3210634052148,1,27,1,1981,5,1,0,Winter,Moderate,926.0608689701098,295.63845358390483,19671.602303579544,376.35999999999996,2278.6394224616724,1.5048884365434023,16.47142857142857,17.996296296296297,900.9744534365008,18.7,15.5,933.0144133046114
1981-01-28,17.2,17.2,70.63547027518509,0.581546319580913,407.84440316860275,1018.4480684126944,835.6143180788556,1,28,1,1981,5,2,0,Winter,Moderate,1214.9300887331833,237.18041162437495,17517.306776698344,295.84,4989.3696609965555,0.7625918433742345,16.32857142857143,17.967857142857145,887.6857535759383,19.4,18.2,897.3210634052148
1981-01-29,15.5,15.5,55.99041965121793,4.12781598105108,163.86086666383082,1003.0166481050383,896.2316828510985,1,29,1,1981,5,3,0,Winter,Moderate,867.8515045938778,676.3875040838411,15546.758045628092,240.25,3134.9270927194907,2.0317027294983587,16.814285714285713,17.882758620689657,902.9303624963898,17.2,12.1,835.6143180788556
1981-01-30,15.1,15.1,60.62459375310085,0.3699103555514436,275.65722224656855,1025.5288899541365,916.4088534920139,1,30,1,1981,5,4,0,Winter,Moderate,915.4313656718227,101.96846109155148,15485.486238307461,228.01,3675.3413677285143,0.6082025612831992,16.914285714285715,17.790000000000003,897.3950328406669,15.5,14.4,896.2316828510985
1981-01-31,15.4,15.4,55.97440081655905,0.11025345791138243,196.48023700279666,1013.9302128822143,897.2752315148233,1,31,1,1981,5,5,1,Winter,Moderate,862.0057725750094,21.662625540806285,15614.5252783861,237.16000000000003,3133.1335467728063,0.33204436136062065,16.82857142857143,17.613333333333333,899.6206572585531,15.1,16.0,916.4088534920139
1981-02-01,15.3,15.3,92.78417276763406,2.5279056180729667,394.57283872616154,1022.1759927025963,1187.5302774183933,2,32,1,1981,5,6,1,Winter,Moderate,1419.5978433448013,997.4428957548623,15639.292688349724,234.09000000000003,8608.902716174167,1.589938872432826,16.657142857142855,17.526666666666664,937.6279771521444,15.4,16.5,897.2752315148233
1981-02-02,18.8,18.8,64.79754162893099,1.2905271028441665,624.6449955258798,1021.7641536646464,795.0296409016333,2,33,1,1981,6,0,0,Winter,Moderate,1218.1937826239025,806.121296382121,19209.166088895352,353.44000000000005,4198.721401153044,1.1360136895496316,16.67142857142857,17.526666666666667,917.9158668088619,15.3,18.7,1187.5302774183933
1981-02-03,21.9,21.9,49.13433606566149,3.78224958349641,113.07888237129005,1018.3411446829726,897.8189304073519,2,34,1,1981,6,1,0,Winter,Moderate,1076.0419598379867,427.6925557510513,22301.671068557098,479.60999999999996,2414.1829806133637,1.9448006539222498,17.02857142857143,17.77,917.9869906663099,18.8,19.4,795.0296409016333
1981-02-04,19.9,19.9,77.33817368154783,0.9670602538356747,188.01357980143473,1016.1291798890118,1084.1871114395335,2,35,1,1981,6,2,0,Winter,Moderate,1539.0296562628016,181.82046020732935,20220.97067979133,396.00999999999993,5981.193108397258,0.9833922177013985,17.414285714285715,17.90666666666667,953.4973897178354,21.9,17.2,897.8189304073519
1981-02-05,16.6,16.6,46.68734525043467,0.3685154723787983,364.8834631659161,1015.3843984438834,787.5292997781874,2,36,1,1981,6,3,0,Winter,Moderate,775.0099311572155,134.46520179179942,16855.381014168466,275.56000000000006,2179.7082065332843,0.6070547523731268,17.571428571428573,17.933333333333334,937.9684778502767,19.9,15.5,1084.1871114395335
1981-02-06,16.8,16.8,68.13295392507133,3.6211775765160783,201.6169647610112,1012.3702308018551,926.478184620649,2,37,1,1981,6,4,0,Winter,Moderate,1144.6336259411985,730.090831837806,17007.819877471167,282.24,4642.099410555893,1.9029391941194753,17.814285714285713,17.966666666666665,939.4069537257959,16.6,15.1,787.5292997781874
1981-02-07,14.6,14.6,35.60494814180336,1.5921751724957949,25.813302944559734,1017.8295673378408,923.8277723901984,2,38,1,1981,6,5,1,Winter,Cool,519.8322428703291,41.099300068440606,14860.311683132475,213.16,1267.7123321805068,1.2618142385057298,17.7,17.873333333333335,943.2001738508496,16.8,15.4,926.478184620649
1981-02-08,17.1,17.1,45.07720926652354,0.4194573499266711,132.19268460820985,1015.0620920830784,934.6538187049132,2,39,1,1981,6,6,1,Winter,Moderate,770.8202784575526,55.449193165451945,17357.56177462064,292.41,2031.9547952579555,0.6476552709016357,17.95714285714286,17.716666666666665,907.0749654632097,14.6,15.3,923.8277723901984
1981-02-09,25.0,25.0,67.95291853803685,2.5486760811956506,200.34469713749777,1008.129791369655,1000.6522960839176,2,40,1,1981,7,0,0,Winter,Moderate,1698.8229634509214,510.6137375887273,25203.244784241375,625.0,4617.599137837073,1.596457353390829,18.842857142857145,17.883333333333333,936.4496304892501,17.1,18.8,934.6538187049132
1981-02-10,15.0,15.0,76.07699869993115,1.4312504121259626,468.81070868143115,1019.0971472865351,965.0447086228703,2,41,1,1981,7,1,0,Winter,Cool,1141.1549804989672,670.985520009363,15286.457209298027,225.0,5787.709731189327,1.1963487836437845,17.857142857142858,17.843333333333337,946.0533130914672,25.0,21.9,1000.6522960839176
1981-02-11,13.7,13.7,67.57052421784955,1.8542634788377566,180.39390746918164,1015.8050002291983,1044.0983090503087,2,42,1,1981,7,2,0,Winter,Cool,925.7161817845388,334.4978344249411,13916.528503140016,187.68999999999997,4565.7757430749925,1.3617134349185795,16.97142857142857,17.856666666666666,940.3263413215778,15.0,19.9,965.0447086228703
1981-02-12,13.9,13.9,63.265275764176394,1.2357022279929832,76.91650571136847,1025.097881878438,1082.5353731303462,2,43,1,1981,7,3,0,Winter,Cool,879.3873331220519,95.04589747697304,14248.86055811029,193.21,4002.495117517285,1.1116214409559502,16.585714285714285,17.763333333333335,982.4700660861719,13.7,16.6,1044.0983090503087
1981-02-13,18.3,18.3,60.48344456616067,3.5287826399321762,203.88900871471884,994.8958321664226,926.9399293406018,2,44,1,1981,7,4,0,Winter,Moderate,1106.8470355607403,719.4799944254801,18206.593728645534,334.89000000000004,3658.247066587831,1.8785054271766628,16.8,17.656666666666663,982.5360296175937,13.9,16.8,1082.5353731303462
1981-02-14,22.0,22.0,42.82217014448859,3.5387757676884726,437.5328980461911,1013.3622057046526,769.9160558452184,2,45,1,1981,7,5,1,Winter,Moderate,942.087743178749,1548.3308171723722,22293.968525502358,484.0,1833.7382558835297,1.8811634080240005,17.857142857142858,17.556666666666665,960.5486415397394,18.3,14.6,926.9399293406018
1981-02-15,22.1,22.1,54.20233687407937,2.4715381254742197,98.54799541405694,1005.7509707374003,968.01554630979,2,46,1,1981,7,6,1,Winter,Moderate,1197.871644917154,243.56512785490028,22227.096453296548,488.4100000000001,2937.8933226111844,1.572112631294024,18.571428571428573,17.603333333333335,965.3146026261503,22.0,17.1,769.9160558452184
1981-02-16,21.2,21.2,58.09041843560319,0.22276025532631955,109.67135191681963,1007.8237725557916,893.7663269309738,2,47,1,1981,8,0,0,Winter,Moderate,1231.5168708347876,24.430418354973387,21365.86397818278,449.44,3374.496714023467,0.4719748460737283,18.02857142857143,17.62333333333333,950.0451784614442,22.1,25.0,968.01554630979
1981-02-17,18.4,18.4,80.85683339328374,3.6508872713246467,99.86769943878912,1018.597480275899,1103.9186456787452,2,48,1,1981,8,1,0,Winter,Moderate,1487.7657344364206,364.60571269755076,18742.19363707654,338.55999999999995,6537.827506389244,1.9107295128627304,18.514285714285712,17.410000000000004,969.884312326569,21.2,15.0,893.7663269309738
1981-02-18,16.6,16.6,70.15427434352692,2.2234739670048786,49.469628624435344,998.6393950516367,1093.9294641160827,2,49,1,1981,8,2,0,Winter,Moderate,1164.560954102547,109.99443140383136,16577.41395785717,275.56000000000006,4921.6222086668395,1.4911317738566496,18.928571428571427,17.37333333333333,977.0030487645369,18.4,13.7,1103.9186456787452
1981-02-19,16.1,16.1,38.554397669558995,2.3882044648863947,174.32691310577562,1014.331356462499,794.2482414251915,2,50,1,1981,8,3,0,Winter,Moderate,620.7258024798999,416.3283122290759,16330.734839046236,259.21000000000004,1486.441579662496,1.545381656706975,19.242857142857144,17.39333333333333,935.8191728066577,16.6,13.9,1093.9294641160827
1981-02-20,15.7,15.7,69.86125954092192,0.9019173712626203,159.08334030729273,1013.3043956239478,991.7514870736584,2,51,1,1981,8,4,0,Winter,Moderate,1096.8217747924741,143.4800281016303,15908.87901129598,246.48999999999998,4880.595584644054,0.9496933037895025,18.87142857142857,17.31,945.0779667685227,16.1,18.3,794.2482414251915
1981-02-21,16.6,16.6,59.22376579375525,4.228555575794965,29.3685058309901,1002.5005042206938,965.1448816458956,2,52,1,1981,8,5,1,Winter,Moderate,983.1145121763373,124.18635908440011,16641.50837006352,275.56000000000006,3507.4544347935744,2.0563451985974934,18.099999999999998,17.46,972.9677990257625,15.7,22.0,991.7514870736584
1981-02-22,16.5,16.5,54.84616999541062,2.5846727373805884,82.46369817225319,1014.5807289709124,969.8189345314727,2,53,1,1981,8,6,1,Winter,Moderate,904.9618049242753,213.14167248940427,16740.582028020057,272.25,3008.1023631654803,1.6076917420266201,17.3,17.529999999999998,973.2254259145744,16.6,22.1,965.1448816458956
1981-02-23,14.4,14.4,74.17514433261302,0.23889739389120726,192.1062203597915,1005.3844682457379,979.4475103047747,2,54,1,1981,9,0,0,Winter,Cool,1068.1220783896274,45.89367539424417,14477.536342738627,207.36,5501.9520367639725,0.48877131042155825,16.32857142857143,17.476666666666667,985.4655949679744,16.5,21.2,969.8189345314727
1981-02-24,14.4,14.4,80.46499283743927,1.0477475449795832,271.0808541227483,1030.0,1043.1701673930438,2,55,1,1981,9,1,0,Winter,Cool,1158.6958968591255,284.024299398078,14832.0,207.36,6474.615072329153,1.0235954010152561,15.757142857142858,17.406666666666663,976.7872409271598,14.4,18.4,979.4475103047747
1981-02-25,18.5,18.5,78.96920178674299,4.349797835132439,324.3637511528033,1025.019666345183,988.8681021810671,2,56,1,1981,9,2,0,Winter,Moderate,1460.9302330547453,1410.916742559901,18962.863827385885,342.25,6236.134830835332,2.0856168955808827,16.02857142857143,17.4,961.7784749364434,14.4,16.6,1043.1701673930438
1981-02-26,16.9,16.9,52.41173715166042,0.09669359850486385,286.67889177887474,1013.6725995952489,768.5837896943984,2,57,1,1981,9,3,0,Winter,Moderate,885.758357863061,27.72001366148583,17131.066933159706,285.60999999999996,2746.9901912547407,0.3109559430286931,16.142857142857142,17.316666666666666,958.1121246891872,18.5,16.1,988.8681021810671
1981-02-27,17.5,17.5,60.36181436223178,6.509867311808143,166.44546830920612,1008.6825147460913,898.5915363617348,2,58,1,1981,9,4,0,Winter,Moderate,1056.3317513390562,1083.537913344699,17651.9440080566,306.25,3643.5486331005313,2.551444162000835,16.4,17.326666666666664,944.8035603017696,16.9,15.7,768.5837896943984
1981-02-28,21.2,21.2,69.96895147105346,2.273641455002,41.38228679885113,1018.0405033773526,1047.3693334582265,2,59,1,1981,9,5,1,Winter,Moderate,1483.3417711863333,94.08848276864995,21582.458671599874,449.44,4895.654169958634,1.507859892364672,17.057142857142857,17.516666666666666,956.5499105606741,17.5,16.6,898.5915363617348
1981-03-01,17.8,17.8,79.63317690683539,1.9959561279710363,139.24403364027535,1020.6747591781418,988.589846410244,3,60,1,1981,9,6,1,Spring,Moderate,1417.47054894167,277.9249822277127,18168.010713370924,316.84000000000003,6341.442864275341,1.4127831142716267,17.242857142857144,17.60666666666667,959.2314694004984,21.2,16.5,1047.3693334582265
1981-03-02,18.6,18.6,57.81238643232065,0.6309542864520044,9.577334981439387,1015.5453258978764,1061.2643580050626,3,61,1,1981,10,0,0,Spring,Moderate,1075.3103876411642,6.042860559325909,18889.143061700503,345.96000000000004,3342.272024999973,0.7943263098072506,17.842857142857145,17.71333333333333,970.9195905005397,17.8,14.4,988.589846410244
1981-03-03,17.0,17.0,62.215115350042744,0.5721448405788696,192.79553935736578,1002.8485246362557,954.2179904515751,3,62,1,1981,10,1,0,Spring,Moderate,1057.6569609507267,110.30697312993723,17048.424918816345,289.0,3870.7205780191243,0.7564025651588376,18.214285714285715,17.769999999999996,958.2121366517584,18.6,14.4,1061.2643580050626
1981-03-04,16.0,16.0,48.40497538990958,5.696633113701358,95.64275328428344,1010.9041223379709,891.2918762856535,3,63,1,1981,10,2,0,Spring,Moderate,774.4796062385533,544.8416754448184,16174.465957407534,256.0,2343.041642497752,2.3867620563645127,17.857142857142858,17.676666666666666,944.2726758095565,17.0,18.5,954.2179904515751
1981-03-05,13.3,13.3,47.05690063878994,0.7084201234713695,17.39429747162832,1013.7801307445559,1001.5876797880693,3,64,1,1981,10,3,0,Spring,Cool,625.8567784959063,12.322470362548666,13483.275738902594,176.89000000000001,2214.351897728949,0.8416769709760209,17.342857142857145,17.39,977.558945822938,16.0,16.9,891.2918762856535
1981-03-06,14.3,14.3,77.18788733591298,2.987806330962544,219.69009224010128,1015.902750174592,1018.0843237836141,3,65,1,1981,10,4,0,Spring,Cool,1103.7867889035556,656.3914484447199,14527.409327496667,204.49,5957.969951381595,1.7285272144118946,16.885714285714286,17.203333333333333,994.6293440260636,13.3,17.5,1001.5876797880693
1981-03-07,11.4,11.4,85.34360042856234,0.9988543281631889,434.016939002898,1016.1336315114177,919.0933356266507,3,66,1,1981,10,5,1,Spring,Cool,972.9170448856107,433.5196980191834,11583.923399230162,129.96,7283.530134110106,0.9994269999170469,15.485714285714286,17.029999999999998,976.3042014786957,14.3,21.2,1018.0843237836141
1981-03-08,16.3,16.3,63.91984817629499,0.29991181224168706,35.12640153941627,1020.3083223519493,1099.802707262108,3,67,1,1981,10,6,1,Spring,Moderate,1041.8935252736085,10.53482274321552,16631.025654336776,265.69,4085.746990880602,0.5476420475471976,15.271428571428572,17.013333333333335,992.1917530289619,11.4,17.8,919.0933356266507
1981-03-09,16.1,16.1,80.05299346838036,0.021546239847182746,232.93494575655896,1026.4172028872013,1105.1283135001365,3,68,1,1981,11,0,0,Spring,Moderate,1288.853194840924,5.018872210061322,16525.31696648394,259.21000000000004,6408.481763248549,0.1467863748690005,14.914285714285715,17.063333333333333,998.458032385401,16.3,18.6,1099.802707262108
1981-03-10,11.8,11.8,70.42454037571451,1.5716539286495155,120.86490641999839,1023.1256370669603,991.934612840672,3,69,1,1981,11,1,0,Spring,Cool,831.0095764334313,189.95780501084653,12072.882517390131,139.24,4959.615887130643,1.253656224269443,14.171428571428573,16.886666666666667,1003.8461212981291,16.1,17.0,1105.1283135001365
1981-03-11,12.2,12.2,55.323203680923136,7.441055524137776,86.34354386916127,1018.9031984570719,964.8658168526249,3,70,1,1981,11,2,0,Spring,Cool,674.9430849072622,642.4871040812549,12430.619021176277,148.83999999999997,3060.656865520907,2.7278298194971358,13.62857142857143,16.46,1014.3566842362679,11.8,16.0,991.934612840672
1981-03-12,14.7,14.7,70.4209340826262,0.9213305555735207,86.51472836502893,1000.4229600888714,1010.3029269488782,3,71,1,1981,11,3,0,Spring,Cool,1035.187731014605,79.70866274984434,14706.217513306408,216.08999999999997,4959.107957069585,0.9598596541023696,13.828571428571427,16.45,1015.6017195449549,12.2,13.3,964.8658168526249
1981-03-13,11.8,11.8,88.07054849698955,0.8838194384601997,120.84101523451642,1024.8634323568272,1175.4619574188876,3,72,1,1981,11,4,0,Spring,Cool,1039.2324722644767,106.80163822753074,12093.388501810561,139.24,7756.421512560588,0.9401167153392177,13.471428571428573,16.386666666666667,1038.0842386357083,14.7,14.3,1010.3029269488782
1981-03-14,11.3,11.3,64.46260941335073,0.8434683222949203,120.47631971511433,1021.1880635210698,1027.6139249255687,3,73,1,1981,11,5,1,Spring,Cool,728.4274863708633,101.61795926637392,11539.425117788089,127.69000000000001,4155.428012378215,0.9184053148228838,13.457142857142857,16.3,1053.5871799641252,11.8,11.4,1175.4619574188876
1981-03-15,10.6,10.6,88.4696548372101,1.4702056235773444,161.36980879782408,1010.44208721536,1083.244285631348,3,74,1,1981,11,6,1,Spring,Cool,937.778341274427,237.2468003701618,10710.686124482814,112.36,7826.879827015093,1.212520360067139,12.642857142857142,16.043333333333333,1051.2216911597309,11.3,16.3,1027.6139249255687
1981-03-16,11.7,11.7,30.0,1.162012984942744,78.97901757564979,1013.2973903095616,876.4456486811018,3,75,1,1981,12,0,0,Spring,Cool,351.0,91.77464396092626,11855.57946662187,136.89,900.0,1.0779670611585235,12.014285714285716,15.7,1018.5527390427259,10.6,16.1,1083.244285631348
1981-03-17,14.2,14.2,77.32853756562835,4.239104690429634,94.32024719662208,1013.6558097137017,1031.7464202450417,3,76,1,1981,12,1,0,Spring,Cool,1098.0652334319225,399.83340229368315,14393.912497934563,201.64,5979.702722038795,2.058908616337703,12.357142857142858,15.436666666666666,1024.2401401004931,11.7,11.8,876.4456486811018
1981-03-18,11.2,11.2,66.30570602357257,1.4085003495115673,248.7214776126612,1008.6217767556967,988.3409792338821,3,77,1,1981,12,2,0,Spring,Cool,742.6239074640127,350.3242881484668,11296.563899663803,125.43999999999998,4396.446651284427,1.1868025739404038,12.214285714285714,15.103333333333332,1027.5937347263869,14.2,12.2,1031.7464202450417
1981-03-19,16.9,16.9,60.51488974301199,1.4175689695524123,72.63629181921554,995.51965462864,1029.3564807387293,3,78,1,1981,12,3,0,Spring,Moderate,1022.7016366569026,102.9669533462737,16824.282163224012,285.60999999999996,3662.051880608898,1.190617054116231,12.528571428571428,15.053333333333335,1030.3156709820798,11.2,14.7,988.3409792338821
1981-03-20,16.7,16.7,66.37641164803253,0.2978623712492289,202.1327601599769,1001.8345735665246,928.1525087546513,3,79,1,1981,12,4,0,Spring,Moderate,1108.486074522143,60.20774324840238,16730.63737856096,278.89,4405.828023269069,0.5457676898179562,13.22857142857143,15.056666666666667,994.9857497443319,16.9,11.8,1029.3564807387293
1981-03-21,8.1,8.1,35.18646628098661,8.118673990418646,126.03306342422076,1003.9349271450219,850.2375156112337,3,80,1,1981,12,5,1,Spring,Cool,285.0103768759915,1023.2213539550046,8131.872909874677,65.61,1238.0874093430075,2.8493286911865128,12.77142857142857,14.790000000000001,969.6462626994269,16.7,11.3,928.1525087546513
1981-03-22,8.0,8.0,61.70492168243732,0.575291855193574,105.73557798930709,993.3216987690741,1041.8400663533503,3,81,1,1981,12,6,1,Spring,Cool,493.6393734594986,60.8288168214333,7946.573590152593,64.0,3807.4973598357237,0.7584799636071964,12.4,14.533333333333333,963.7313742311414,8.1,10.6,850.2375156112337
